Tue Jan 30 13:53:23 +0000 2024,1.75E+18,"serem ya Pemerintah sekarang buat RPP UU kesehatan buru buru banget gatau apa yang di kejar. Kita harus tolak pasal tembakau di RPP UU  Kesehatan. @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI #TolakPasalTembakauRPPKesehatan https://t.co/KWXapLTZHa""",0,0,0,0,in,8.44E+17,1.75E+18,cafceine,https://twitter.com/cafceine/status/1752329163065958901
Tue Jan 30 13:28:45 +0000 2024,1.75E+18,yuk bisa dong jadi pemerintah dan pemimpin negara yg solutif ya ini jelas ngerugiin Kita harus tolak pasal tembakau di RPP UU  Kesehatan. @Kemenperin @KemnakerRI @Jokowi @Kemenkes_RI #TolakPasalTembakauRPPKesehatan https://t.co/RO67hlvMeo,0,0,0,0,in,2757287811,1.75E+18,cutehsy,https://twitter.com/cutehsy/status/1752322960613093589
Tue Jan 30 13:23:40 +0000 2024,1.75E+18,"Tembakau yg sdh menjadi bagian masyarakat adat tiba-tiba dilarang tentu saja kita menolak pasal tembakau di RPP UU Kesehatan @mohmahfudmd  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/R3ktdaO0Sy",0,0,0,0,in,1.74E+18,1.75E+18,grintitea,https://twitter.com/grintitea/status/1752321682755498424
Tue Jan 30 13:21:46 +0000 2024,1.75E+18,"Tolong jgn semena-mena melarang produksi Tembakau yg sdh menjadi bagian masyarakat adat sebaiknya segera revisi pasal tembakau di RPP UU Kesehatan @mohmahfudmd  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/DP0nAAnroI",0,0,0,0,in,1.74E+18,1.75E+18,tulipsmei,https://twitter.com/tulipsmei/status/1752321203740807454
Tue Jan 30 13:19:34 +0000 2024,1.75E+18,"Setuju dgn perkataan pak @mohmahfudmd jgn sampe aturan yang dibuat hanya untuk menguntungkan sebagian pihak sebaiknya tolak pasal tembakau di RPP UU Kesehatan   @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/Vp6ESJ3dJr",0,0,0,0,in,1.74E+18,1.75E+18,asokahai,https://twitter.com/asokahai/status/1752320652659552444
Tue Jan 30 13:16:51 +0000 2024,1.75E+18,"Ini dari dulu pedagang menolak pasal tembakau di RPP UU Kesehatan ya karena ini. Kalau gak ada solusi dari masalah ini gimana mereka jualan? Gimana bisa dapet duit buat makan? 
#TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/yw8JJ1egxQ",0,0,0,0,in,1.61E+18,1.75E+18,ThelastThree00,https://twitter.com/ThelastThree00/status/1752319966530175087
Tue Jan 30 13:16:37 +0000 2024,1.75E+18,"Tembakau bagian dari masyarakat adat. Setuju banget dengan pak @mohmahfudmd pasal tembakau di RPP UU Kesehatan perlu banget ditinjau ulang karna merugikan banyak pihak  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/jNNurcBzFZ",0,0,0,0,in,1.74E+18,1.75E+18,pinkwinzz,https://twitter.com/pinkwinzz/status/1752319909751906354
Tue Jan 30 13:13:20 +0000 2024,1.75E+18,"Gini amat ya jadi rakyat kecil, hasil dari jualan asongan gak seberapa, masih juga terancam usahanya menolak pasal tembakau di RPP UU Kesehatan
#TolakPasalTembakauRPPKesehatan
@Kemenperin @KemnakerRI @Kemenkes_RI https://t.co/t0FvJMTk5Z",0,0,0,0,in,1.61E+18,1.75E+18,hapekantor2018,https://twitter.com/hapekantor2018/status/1752319084048634244
Tue Jan 30 13:12:54 +0000 2024,1.75E+18,"Tolak pasal tembakau di RPP UU Kesehatan jika benar hanya permainan untuk menguntungkan pihak tertentu @mohmahfudmd @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/CWCVMWcnWj",0,0,0,0,in,1.73E+18,1.75E+18,beningsyr,https://twitter.com/beningsyr/status/1752318973864251782
Tue Jan 30 13:11:47 +0000 2024,1.75E+18,"Tembakau sdh menjadi bagian masyarakat adat secara turun temurun dari dulu gak ada masalah baru sekarang ini aja, tolak pasal tembakau di RPP UU Kesehatan @mohmahfudmd  @Jokowi @Kemenkes_RI
 #TolakPasalTembakauRPPKesehatan https://t.co/2Yo6cc5y7C",0,0,0,0,in,1.74E+18,1.75E+18,chickywn,https://twitter.com/chickywn/status/1752318691692491236
